pair_id,dataset,X1,Y1,Z1,X2,Y2,Z2,Xw,Yw,Zw,L1,a1,b1,L2,a2,b2,DV
0,BFD-P(D65),0.19409999,0.28410001,0.11576599,0.19565491,0.28289998,0.12721342,0.948100,1.000000,1.073300,60.257355,-34.008846,36.275349,60.149834,-32.760582,33.050049,1.029410
1,BFD-P(D65),0.19409999,0.28410001,0.11576599,0.19966939,0.28589998,0.11988133,0.948100,1.000000,1.073300,60.257355,-34.008846,36.275349,60.418064,-31.909567,35.437428,1.111760
2,BFD-P(D65),0.19409999,0.28410001,0.11576599,0.19552512,0.28640001,0.10579089,0.948100,1.000000,1.073300,60.257355,-34.008846,36.275349,60.462589,-34.174015,39.446148,1.132940
3,BFD-P(D65),0.19409999,0.28410001,0.11576599,0.19484236,0.27980002,0.10996705,0.948100,1.000000,1.073300,60.257355,-34.008846,36.275349,59.870667,-31.966873,37.225582,1.152940
4,BFD-P(D65),0.19409999,0.28410001,0.11576599,0.19352785,0.29039999,0.11506942,0.948100,1.000000,1.073300,60.257355,-34.008846,36.275349,60.816914,-36.710571,37.431435,1.091760
5,BFD-P(D65),0.19409999,0.28410001,0.11576599,0.19534006,0.28670000,0.10388684,0.948100,1.000000,1.073300,60.257355,-34.008846,36.275349,60.489277,-34.382278,40.049782,1.011760
6,BFD-P(D65),0.19409999,0.28410001,0.11576599,0.19899523,0.28360001,0.12728384,0.948100,1.000000,1.073300,60.257355,-34.008846,36.275349,60.212593,-31.359093,33.140129,1.258820
7,BFD-P(D65),0.19409999,0.28410001,0.11576599,0.19476420,0.27740000,0.11841273,0.948100,1.000000,1.073300,60.257355,-34.008846,36.275349,59.653114,-31.068605,34.513477,1.081180
8,BFD-P(D65),0.19409999,0.28410001,0.11576599,0.19062212,0.28059999,0.12338250,0.948100,1.000000,1.073300,60.257355,-34.008846,36.275349,59.942905,-34.424133,33.689507,1.163530
9,BFD-P(D65),0.19409999,0.28410001,0.11576599,0.19008859,0.28159998,0.12014404,0.948100,1.000000,1.073300,60.257355,-34.008846,36.275349,60.033012,-35.086063,34.703239,0.916471
10,BFD-P(D65),0.21512003,0.27219999,0.05020000,0.21341040,0.27420000,0.05665346,0.948100,1.000000,1.073300,59.177410,-19.078669,57.556789,59.361084,-20.680395,54.909210,1.146130
11,BFD-P(D65),0.21512003,0.27219999,0.05020000,0.21771794,0.27619997,0.06204045,0.948100,1.000000,1.073300,59.177410,-19.078669,57.556789,59.543865,-19.435497,52.918056,1.157590
12,BFD-P(D65),0.21512003,0.27219999,0.05020000,0.21821957,0.27340002,0.05748700,0.948100,1.000000,1.073300,59.177410,-19.078669,57.556789,59.287724,-18.096468,54.416580,1.088830
13,BFD-P(D65),0.21512003,0.27219999,0.05020000,0.21113026,0.27060000,0.04319727,0.948100,1.000000,1.073300,59.177410,-19.078669,57.556789,59.029823,-20.339642,60.822140,0.939828
