pair_id,L1,a1,b1,L2,a2,b2,DV
0,47.105415,-40.947926,-0.778577,47.049183,-40.774654,-0.817149,0.112941
1,47.105415,-40.947926,-0.778577,47.355278,-41.037525,-0.884382,0.202353
2,47.105415,-40.947926,-0.778577,47.559425,-41.285973,-0.866527,0.338824
3,47.105415,-40.947926,-0.778577,47.470432,-41.797195,-0.091109,0.705882
4,47.105415,-40.947926,-0.778577,46.963993,-40.705280,-0.788840,0.141176
5,47.105415,-40.947926,-0.778577,46.741409,-40.525635,-0.777596,0.268235
6,47.105415,-40.947926,-0.778577,46.563793,-40.296658,-0.795766,0.517647
7,47.105415,-40.947926,-0.778577,47.224083,-41.082794,-0.650347,0.211765
8,47.105415,-40.947926,-0.778577,47.392845,-41.142139,-0.496525,0.442353
9,47.105415,-40.947926,-0.778577,47.378601,-41.566433,-0.718438,0.338824
10,47.105415,-40.947926,-0.778577,47.573589,-41.933407,-0.633207,0.640000
11,47.105415,-40.947926,-0.778577,47.248806,-40.961212,-0.929052,0.164706
12,47.105415,-40.947926,-0.778577,47.372124,-41.512470,-1.041573,0.381176
13,47.105415,-40.947926,-0.778577,47.580025,-42.094868,-1.221102,0.607059
14,47.105415,-40.947926,-0.778577,47.117172,-40.963039,-0.613501,0.235294
15,47.105415,-40.947926,-0.778577,47.242302,-41.260323,-0.546501,0.423529
16,47.105415,-40.947926,-0.778577,47.218876,-41.137081,-0.520740,0.385882
17,47.105415,-40.947926,-0.778577,47.523342,-41.869522,-0.338723,0.705882
18,47.105415,-40.947926,-0.778577,47.321556,-41.485756,-0.755371,0.362353
19,47.105415,-40.947926,-0.778577,47.470432,-41.974251,-0.657787,0.621176
20,32.480335,-2.030883,-41.895298,32.548862,-2.599062,-41.409134,0.131765
21,32.480335,-2.030883,-41.895298,32.713863,-1.482396,-43.030930,0.447059
22,32.480335,-2.030883,-41.895298,32.349373,-1.710041,-41.441402,0.503529
23,32.480335,-2.030883,-41.895298,32.700703,-3.242590,-40.321537,0.461176
24,32.480335,-2.030883,-41.895298,32.371620,-2.620447,-41.079983,0.225882
25,32.480335,-2.030883,-41.895298,32.502464,-1.752911,-42.320782,0.174118
26,32.480335,-2.030883,-41.895298,32.884285,-2.159065,-41.925198,0.338824
27,32.480335,-2.030883,-41.895298,32.940826,-1.904005,-42.798122,0.569412
28,32.480335,-2.030883,-41.895298,32.829792,-0.977746,-43.518417,0.616471
29,32.480335,-2.030883,-41.895298,32.698509,-2.407626,-41.766056,0.202353
30,32.480335,-2.030883,-41.895298,32.601784,-2.163577,-41.981541,0.155294
31,32.480335,-2.030883,-41.895298,32.517941,-0.905426,-42.624947,0.569412
32,32.480335,-2.030883,-41.895298,31.977043,-1.534627,-41.244911,0.710588
33,32.480335,-2.030883,-41.895298,32.855961,-2.627527,-41.194805,0.414118
34,32.480335,-2.030883,-41.895298,32.722630,-2.016149,-42.437130,0.461176
35,32.480335,-2.030883,-41.895298,32.222172,-1.965145,-41.443523,0.550588
36,32.480335,-2.030883,-41.895298,32.834152,-2.423481,-42.032154,0.470588
37,32.480335,-2.030883,-41.895298,32.733585,-2.782423,-40.969242,0.385882
38,32.480335,-2.030883,-41.895298,32.433804,-2.387813,-40.734520,0.536471
39,32.480335,-2.030883,-41.895298,32.362724,-1.507710,-41.644638,0.602353
40,34.190285,51.808216,43.582775,34.715588,53.134830,45.731628,0.569412
41,34.190285,51.808216,43.582775,33.564960,51.294258,45.612933,0.851765
42,34.190285,51.808216,43.582775,34.385742,52.038910,43.812469,0.141176
43,34.190285,51.808216,43.582775,33.448200,51.510384,43.200512,0.588235
44,34.190285,51.808216,43.582775,34.134457,51.828232,43.968327,0.230588
45,34.190285,51.808216,43.582775,34.534908,52.417599,44.045670,0.249412
46,34.190285,51.808216,43.582775,33.564960,51.333477,43.396244,0.583529
47,34.190285,51.808216,43.582775,33.647419,51.867054,44.060642,0.428235
48,34.190285,51.808216,43.582775,33.055687,51.864403,43.944083,0.738824
49,34.190285,51.808216,43.582775,33.657970,51.611317,44.422008,0.512941
50,34.190285,51.808216,43.582775,33.129089,51.806633,47.338958,0.955294
51,34.190285,51.808216,43.582775,34.359085,52.552361,45.329834,0.409412
52,34.190285,51.808216,43.582775,33.003742,51.824310,44.833595,0.757647
53,34.190285,51.808216,43.582775,34.215057,51.356972,42.641239,0.188235
54,34.190285,51.808216,43.582775,34.545094,53.420383,46.832031,0.583529
55,34.190285,51.808216,43.582775,33.788448,51.560780,45.536252,0.720000
56,34.190285,51.808216,43.582775,33.995377,51.538044,42.743408,0.197647
57,34.190285,51.808216,43.582775,34.285114,51.534107,43.084320,0.094118
58,34.190285,51.808216,43.582775,33.281662,51.464649,42.608803,0.691765
59,34.190285,51.808216,43.582775,34.138596,53.062046,46.595908,0.560000
60,83.337036,1.298298,101.262978,83.739815,2.502082,102.080269,0.548486
61,83.337036,1.298298,101.262978,83.139450,2.102509,103.900970,0.456341
62,83.337036,1.298298,101.262978,83.816116,1.630251,99.829933,0.517771
63,83.337036,1.298298,101.262978,83.583710,1.269276,100.591599,0.258885
64,83.337036,1.298298,101.262978,83.696388,0.377764,101.891960,0.447565
65,83.337036,1.298298,101.262978,84.185005,0.074277,101.175262,0.508995
66,83.337036,1.298298,101.262978,83.370773,1.299379,101.547249,0.127249
67,83.337036,1.298298,101.262978,83.209801,1.117798,101.023628,0.118473
68,83.337036,1.298298,101.262978,82.904381,1.323077,101.130661,0.188679
69,83.337036,1.298298,101.262978,84.217651,0.246506,99.399963,0.601141
70,83.337036,1.298298,101.262978,83.752892,0.885896,101.971527,0.219394
71,83.337036,1.298298,101.262978,82.934685,1.681152,102.018196,0.320316
72,83.337036,1.298298,101.262978,83.935043,1.459541,103.458305,0.293989
73,83.337036,1.298298,101.262978,83.497070,1.062468,101.695587,0.122861
74,83.337036,1.298298,101.262978,83.961082,1.432432,104.613342,0.522159
75,83.337036,1.298298,101.262978,83.610466,0.965955,99.205475,0.500219
76,83.337036,1.298298,101.262978,83.517036,2.825609,101.636269,0.653796
77,83.337036,1.298298,101.262978,84.083298,0.020635,102.442390,0.618692
78,83.337036,1.298298,101.262978,84.286499,1.284942,103.967560,0.487056
79,83.337036,1.298298,101.262978,83.259995,1.952924,101.255974,0.390522
80,73.868805,-12.713548,-21.607077,73.536446,-13.833928,-21.011154,0.800000
81,73.868805,-12.713548,-21.607077,74.082825,-12.064073,-22.211750,0.550588
82,73.868805,-12.713548,-21.607077,74.222382,-12.637861,-21.483376,0.371765
83,73.868805,-12.713548,-21.607077,73.713280,-12.720397,-21.798758,0.150588
84,73.868805,-12.713548,-21.607077,73.575371,-14.389047,-20.712076,0.917647
85,73.868805,-12.713548,-21.607077,73.794014,-13.230515,-21.448774,0.404706
86,73.868805,-12.713548,-21.607077,74.065506,-11.026644,-22.770529,0.936471
87,73.868805,-12.713548,-21.607077,74.780754,-13.598746,-22.995789,0.865882
88,73.868805,-12.713548,-21.607077,74.242828,-13.134480,-22.231668,0.418824
89,73.868805,-12.713548,-21.607077,74.068077,-12.849094,-21.324337,0.277647
90,73.868805,-12.713548,-21.607077,74.434723,-12.581929,-21.245028,0.555294
91,73.868805,-12.713548,-21.607077,74.652412,-13.728851,-22.190079,0.809412
92,73.868805,-12.713548,-21.607077,73.881042,-12.732629,-21.747696,0.108235
93,73.868805,-12.713548,-21.607077,74.068077,-12.456508,-22.570904,0.305882
94,73.868805,-12.713548,-21.607077,74.059097,-11.677091,-22.338741,0.691765
95,73.868805,-12.713548,-21.607077,73.379761,-12.617677,-22.459093,0.447059
96,73.868805,-12.713548,-21.607077,73.150574,-12.953817,-22.178558,0.541176
97,73.868805,-12.713548,-21.607077,74.987991,-12.817780,-20.247753,1.007060
98,73.868805,-12.713548,-21.607077,73.455246,-12.781279,-22.114180,0.207059
99,73.868805,-12.713548,-21.607077,74.458260,-12.801238,-20.989946,0.701176
100,65.514427,32.999004,3.564933,65.389732,33.179359,3.180100,0.244211
101,65.514427,32.999004,3.564933,65.525391,32.998871,3.753986,0.155789
102,65.514427,32.999004,3.564933,65.724525,32.467133,3.697629,0.378947
103,65.514427,32.999004,3.564933,65.834991,32.524220,3.469984,0.374737
104,65.514427,32.999004,3.564933,65.337860,32.827274,3.847688,0.202105
105,65.514427,32.999004,3.564933,65.555122,32.679134,3.759160,0.193684
106,65.514427,32.999004,3.564933,65.174744,32.202541,4.739989,0.711579
107,65.514427,32.999004,3.564933,65.692574,32.655769,3.447104,0.223158
108,65.514427,32.999004,3.564933,65.346512,33.364532,2.929516,0.454737
109,65.514427,32.999004,3.564933,66.065094,32.278522,3.149130,0.618947
110,65.514427,32.999004,3.564933,65.122589,32.907761,3.907809,0.357895
111,65.514427,32.999004,3.564933,64.758064,33.647118,3.505934,0.597895
112,65.514427,32.999004,3.564933,65.234711,32.676487,4.176224,0.505263
113,65.514427,32.999004,3.564933,65.125755,33.239330,3.572043,0.370526
114,65.514427,32.999004,3.564933,65.384232,33.235359,2.585286,0.644211
115,65.514427,32.999004,3.564933,65.837326,32.721684,3.075154,0.442105
116,65.514427,32.999004,3.564933,65.698029,33.714306,3.841850,0.433684
117,65.514427,32.999004,3.564933,65.579369,32.353355,3.952414,0.543158
118,65.514427,32.999004,3.564933,65.449387,32.982235,3.518523,0.122105
119,65.514427,32.999004,3.564933,64.589378,33.571014,3.685557,0.741053
120,19.638876,-16.751360,1.607223,20.318142,-16.909208,1.523583,0.828982
121,19.638876,-16.751360,1.607223,20.318142,-16.974281,2.429238,1.194520
122,19.638876,-16.751360,1.607223,20.063911,-16.707830,1.938368,0.685379
123,19.638876,-16.751360,1.607223,20.007818,-17.294970,1.706934,0.711488
124,19.638876,-16.751360,1.607223,19.647066,-16.709942,1.549242,0.215405
125,19.638876,-16.751360,1.607223,19.220238,-17.064001,1.224531,0.652742
126,19.638876,-16.751360,1.607223,19.830376,-16.621778,1.862531,0.313316
127,19.638876,-16.751360,1.607223,19.999790,-16.939514,1.618361,0.469974
128,19.638876,-16.751360,1.607223,19.457714,-15.783272,1.348489,0.757180
129,19.638876,-16.751360,1.607223,19.720615,-16.403620,1.390417,0.267624
130,19.638876,-16.751360,1.607223,20.365416,-17.106077,1.838645,1.024800
131,19.638876,-16.751360,1.607223,19.995775,-16.531384,2.018603,0.659269
132,19.638876,-16.751360,1.607223,20.302357,-17.911089,1.890427,1.181460
133,19.638876,-16.751360,1.607223,19.527927,-16.792128,0.883210,0.698433
134,19.638876,-16.751360,1.607223,19.370594,-16.083477,1.647574,0.724543
135,19.638876,-16.751360,1.607223,20.091892,-16.449589,2.390592,1.024800
136,19.638876,-16.751360,1.607223,19.931410,-16.410097,1.610543,0.319843
137,19.638876,-16.751360,1.607223,19.610178,-16.874916,1.270630,0.339426
138,19.638876,-16.751360,1.607223,19.995775,-17.151211,1.673280,0.620104
139,19.638876,-16.751360,1.607223,19.696133,-16.660366,1.429281,0.182768
140,16.503656,20.248148,-11.783588,15.855520,20.039375,-11.490644,0.357662
141,16.503656,20.248148,-11.783588,16.960146,20.378597,-12.085836,0.392556
142,16.503656,20.248148,-11.783588,16.399906,20.137093,-12.344335,0.380925
143,16.503656,20.248148,-11.783588,16.345293,19.551188,-11.702431,0.331492
144,16.503656,20.248148,-11.783588,16.205441,19.966820,-11.570309,0.229718
145,16.503656,20.248148,-11.783588,16.394947,19.983973,-11.712887,0.133760
146,16.503656,20.248148,-11.783588,16.488874,20.980310,-11.828447,0.354754
147,16.503656,20.248148,-11.783588,16.195404,20.343687,-11.563915,0.311137
148,16.503656,20.248148,-11.783588,16.340319,19.908346,-11.727859,0.177377
149,16.503656,20.248148,-11.783588,16.616535,20.642962,-11.705260,0.305321
150,16.503656,20.248148,-11.783588,16.380066,20.176977,-11.849157,0.087235
151,16.503656,20.248148,-11.783588,16.409815,20.378590,-11.760819,0.081419
152,16.503656,20.248148,-11.783588,17.046129,19.680902,-12.178279,0.471067
153,16.503656,20.248148,-11.783588,16.300472,20.605318,-12.377376,0.282059
154,16.503656,20.248148,-11.783588,16.839975,21.047499,-11.228234,0.590288
155,16.503656,20.248148,-11.783588,16.839975,20.340170,-11.940334,0.238441
156,16.503656,20.248148,-11.783588,15.222633,20.935474,-10.958765,0.642629
157,16.503656,20.248148,-11.783588,15.570988,20.796076,-11.349428,0.584472
158,16.503656,20.248148,-11.783588,16.592062,20.658627,-11.822962,0.212271
159,16.503656,20.248148,-11.783588,16.640970,20.948952,-11.558816,0.476883
160,53.276272,-0.441932,-6.983118,53.201385,-0.681212,-7.012048,0.365782
161,53.276272,-0.441932,-6.983118,53.432037,-0.681701,-6.966225,0.271386
162,53.276272,-0.441932,-6.983118,53.684746,0.013746,-6.404913,1.050150
163,53.276272,-0.441932,-6.983118,52.728806,-0.372554,-7.010635,0.619469
