pair_id,L1,a1,b1,L2,a2,b2,DV
0,60.257355,-34.008846,36.275349,60.149834,-32.760582,33.050049,1.029410
1,60.257355,-34.008846,36.275349,60.418064,-31.909567,35.437428,1.111760
2,60.257355,-34.008846,36.275349,60.462589,-34.174015,39.446148,1.132940
3,60.257355,-34.008846,36.275349,59.870667,-31.966873,37.225582,1.152940
4,60.257355,-34.008846,36.275349,60.816914,-36.710571,37.431435,1.091760
5,60.257355,-34.008846,36.275349,60.489277,-34.382278,40.049782,1.011760
6,60.257355,-34.008846,36.275349,60.212593,-31.359093,33.140129,1.258820
7,60.257355,-34.008846,36.275349,59.653114,-31.068605,34.513477,1.081180
8,60.257355,-34.008846,36.275349,59.942905,-34.424133,33.689507,1.163530
9,60.257355,-34.008846,36.275349,60.033012,-35.086063,34.703239,0.916471
10,59.177410,-19.078669,57.556789,59.361084,-20.680395,54.909210,1.146130
11,59.177410,-19.078669,57.556789,59.543865,-19.435497,52.918056,1.157590
12,59.177410,-19.078669,57.556789,59.287724,-18.096468,54.416580,1.088830
13,59.177410,-19.078669,57.556789,59.029823,-20.339642,60.822140,0.939828
14,59.177410,-19.078669,57.556789,59.085236,-21.093271,58.610378,1.134670
15,59.177410,-19.078669,57.556789,59.094463,-20.960516,56.160183,1.260740
16,59.177410,-19.078669,57.556789,59.122131,-20.983437,55.392879,1.283670
17,59.177410,-19.078669,57.556789,59.269360,-20.560944,55.506065,1.157590
18,59.177410,-19.078669,57.556789,59.315250,-19.784775,54.646328,0.931232
19,59.177410,-19.078669,57.556789,59.085236,-19.289694,61.680210,0.825215
20,59.177410,-19.078669,57.556789,59.076004,-18.828768,62.031918,1.045850
21,59.177410,-19.078669,57.556789,59.140568,-20.820892,59.262199,1.283670
22,59.177410,-19.078669,57.556789,58.965069,-19.250687,62.203011,1.318050
23,60.122910,-25.401049,38.368519,60.077988,-27.294632,41.169613,1.378830
24,60.122910,-25.401049,38.368519,59.951927,-25.584404,41.409966,1.240950
25,60.122910,-25.401049,38.368519,59.915833,-24.728031,41.174774,1.461000
26,60.122910,-25.401049,38.368519,60.391327,-27.332436,37.237068,1.579390
27,60.122910,-25.401049,38.368519,59.969959,-24.105118,39.122890,0.993036
28,60.122910,-25.401049,38.368519,60.113930,-23.765646,37.980831,1.103060
29,60.122910,-25.401049,38.368519,60.167778,-28.125673,40.459991,1.580780
30,60.122910,-25.401049,38.368519,59.960945,-25.142290,41.969170,1.703340
31,60.122910,-25.401049,38.368519,59.996998,-23.668110,38.590187,1.344010
32,60.122910,-25.401049,38.368519,59.969959,-22.846863,36.808235,1.441500
33,60.122910,-25.401049,38.368519,60.239456,-23.733757,36.941971,1.013930
34,60.515945,-7.949205,17.120590,60.507057,-8.698397,15.995090,1.482480
35,60.515945,-7.949205,17.120590,60.524834,-6.819410,17.629032,1.280320
36,60.515945,-7.949205,17.120590,60.400242,-6.830273,15.697504,1.024260
37,60.515945,-7.949205,17.120590,60.239456,-8.621399,18.694801,1.361190
38,60.515945,-7.949205,17.120590,60.507057,-6.573670,16.309740,1.185980
39,60.515945,-7.949205,17.120590,60.613579,-6.150740,16.414038,2.008090
40,60.515945,-7.949205,17.120590,60.337795,-7.542750,18.307428,0.916442
41,61.929352,-10.558199,40.607128,62.014931,-12.335860,39.305092,1.452330
42,61.929352,-10.558199,40.607128,61.920780,-12.019363,38.258896,1.525500
43,61.929352,-10.558199,40.607128,61.937916,-9.328341,38.188324,1.335920
44,61.929352,-10.558199,40.607128,61.723186,-8.903790,40.419170,1.466740
45,61.929352,-10.558199,40.607128,61.834995,-9.231165,43.566612,1.597560
46,61.929352,-10.558199,40.607128,62.014931,-12.123996,40.403767,1.444570
47,61.929352,-10.558199,40.607128,62.074726,-9.293166,37.579418,1.380270
48,61.929352,-10.558199,40.607128,62.083260,-10.264501,36.965408,1.539910
49,61.929352,-10.558199,40.607128,61.895065,-9.016234,37.991352,1.364750
50,61.929352,-10.558199,40.607128,61.997829,-8.711558,40.371651,1.757210
51,61.929352,-10.558199,40.607128,61.886490,-12.259735,41.749340,1.466740
52,61.929352,-10.558199,40.607128,61.688721,-9.588286,44.007000,1.800440
53,61.929352,-10.558199,40.607128,62.032024,-8.979323,37.382965,1.786030
54,64.136612,-22.719421,3.767724,64.152809,-23.894442,5.964657,1.902910
55,64.136612,-22.719421,3.767724,63.672112,-22.656645,6.468582,1.980580
56,64.136612,-22.719421,3.767724,63.770351,-24.174490,5.600303,1.708740
57,64.136612,-22.719421,3.767724,64.006767,-21.400127,4.911695,2.135920
58,64.136612,-22.719421,3.767724,64.120407,-23.483311,5.890668,1.873790
59,64.136612,-22.719421,3.767724,64.435272,-24.967566,5.245753,1.805830
60,64.136612,-22.719421,3.767724,64.370888,-22.127905,5.731654,2.194170
61,64.136612,-22.719421,3.767724,63.892811,-21.149197,4.631444,1.388350
62,64.136612,-22.719421,3.767724,64.144714,-20.817036,4.046465,1.359220
63,64.136612,-22.719421,3.767724,63.811211,-25.392773,4.561655,2.757280
64,63.010902,-31.095072,-5.854865,62.877323,-33.912304,-5.222710,1.726190
65,63.010902,-31.095072,-5.854865,63.019234,-34.369724,-6.421840,2.019350
66,63.010902,-31.095072,-5.854865,62.860596,-30.833496,-7.561511,1.485120
67,63.010902,-31.095072,-5.854865,62.818741,-29.793686,-4.075099,1.535710
68,63.010902,-31.095072,-5.854865,62.868961,-28.453684,-4.335227,1.587800
69,63.010902,-31.095072,-5.854865,62.969208,-28.907545,-7.050672,1.562500
70,63.010902,-31.095072,-5.854865,62.868961,-33.724255,-5.994662,1.562500
71,63.010902,-31.095072,-5.854865,63.135723,-33.773872,-7.023799,1.433040
72,63.010902,-31.095072,-5.854865,62.885685,-30.026833,-7.584686,1.355650
73,62.718109,-25.087914,-7.833560,62.935822,-23.784439,-8.698171,1.400000
74,62.718109,-25.087914,-7.833560,62.977551,-26.707878,-7.244078,1.596800
75,62.718109,-25.087914,-7.833560,63.019234,-28.179426,-7.809586,1.708800
76,62.718109,-25.087914,-7.833560,62.608803,-26.457151,-7.176141,1.260800
77,62.718109,-25.087914,-7.833560,62.558250,-25.676392,-7.066313,1.092800
78,62.718109,-25.087914,-7.833560,62.684509,-24.413879,-6.823076,1.049600
