pair_id,L1,a1,b1,L2,a2,b2,DV
0,86.765830,-6.886887,46.098331,86.755975,-7.080393,47.019487,0.573097
1,86.765830,-6.886887,46.098331,86.810151,-7.015631,48.143548,0.866109
2,86.765830,-6.886887,46.098331,86.721470,-6.952432,49.033997,1.133267
3,86.765830,-6.886887,46.098331,86.790457,-7.375076,50.369269,1.503841
4,86.765830,-6.886887,46.098331,86.726401,-7.382485,51.294767,1.745145
5,86.765830,-6.886887,46.098331,86.765830,-6.879838,45.061100,0.633423
6,86.765830,-6.886887,46.098331,86.883934,-6.706578,43.372801,1.107413
7,86.765830,-6.886887,46.098331,86.810151,-6.544541,42.356075,1.460751
8,86.765830,-6.886887,46.098331,86.770756,-6.400560,41.671115,1.646038
9,86.765830,-6.886887,46.098331,86.731331,-6.011516,40.756506,1.831325
10,86.765830,-6.886887,46.098331,86.672137,-6.519359,46.062454,0.719603
11,86.765830,-6.886887,46.098331,86.824916,-6.180869,45.907740,1.016924
12,86.765830,-6.886887,46.098331,86.819995,-5.845843,46.060114,1.236683
13,86.765830,-6.886887,46.098331,86.844596,-5.494798,45.904880,1.641729
14,86.765830,-6.886887,46.098331,86.795381,-5.232767,45.990497,1.822707
15,86.765830,-6.886887,46.098331,86.682007,-7.280064,46.031122,0.650659
16,86.765830,-6.886887,46.098331,86.731331,-7.716392,46.057327,1.245301
17,86.765830,-6.886887,46.098331,86.716539,-8.004996,46.034404,1.443515
18,86.765830,-6.886887,46.098331,86.677073,-8.362912,46.010637,1.736527
19,86.765830,-6.886887,46.098331,86.662265,-8.655219,45.930875,2.012303
20,86.765830,-6.886887,46.098331,87.065483,-6.971536,46.357875,0.560170
21,86.765830,-6.886887,46.098331,87.649933,-6.998576,46.240460,0.909199
22,86.765830,-6.886887,46.098331,87.910798,-6.912916,46.254621,1.240992
23,86.765830,-6.886887,46.098331,88.500151,-6.999466,46.934540,1.572785
24,86.765830,-6.886887,46.098331,88.856275,-7.076353,46.836957,1.960595
25,86.765830,-6.886887,46.098331,86.869186,-6.886635,46.259367,0.499844
26,86.765830,-6.886887,46.098331,86.310560,-6.859949,45.837118,0.586024
27,86.765830,-6.886887,46.098331,85.986443,-6.827539,45.862405,0.831637
28,86.765830,-6.886887,46.098331,85.594763,-6.778328,45.483082,1.081559
29,86.765830,-6.886887,46.098331,85.154296,-6.764778,45.601048,1.447824
30,62.650881,0.136545,0.058882,62.625640,0.120666,0.476207,0.779929
31,62.650881,0.136545,0.058882,62.625640,-0.239308,1.038736,0.978143
32,62.650881,0.136545,0.058882,62.642469,0.153358,1.179985,1.456442
33,62.650881,0.136545,0.058882,62.692913,0.018056,1.285774,1.495223
34,62.650881,0.136545,0.058882,62.692913,-0.025405,1.846323,1.960595
35,62.650881,0.136545,0.058882,62.499191,0.224235,-0.332754,0.685131
36,62.650881,0.136545,0.058882,62.659291,0.183150,-0.463569,0.814401
37,62.650881,0.136545,0.058882,62.776843,0.165145,-0.856375,1.297009
38,62.650881,0.136545,0.058882,62.692913,0.393943,-1.315700,1.572785
39,62.650881,0.136545,0.058882,62.667699,0.419615,-1.537942,1.766690
40,62.650881,0.136545,0.058882,62.516074,0.558329,0.016022,0.947980
41,62.650881,0.136545,0.058882,62.768458,0.772713,0.014210,1.180666
42,62.650881,0.136545,0.058882,62.549819,0.909253,-0.052328,1.378880
43,62.650881,0.136545,0.058882,62.751683,1.125754,-0.015087,1.654656
44,62.650881,0.136545,0.058882,62.701314,1.437967,-0.175069,1.986449
45,62.650881,0.136545,0.058882,62.676105,-0.035942,0.151686,0.564479
46,62.650881,0.136545,0.058882,62.676105,-0.392192,0.102547,1.064323
47,62.650881,0.136545,0.058882,62.793608,-0.601243,0.182720,1.318554
48,62.650881,0.136545,0.058882,62.600383,-0.773577,0.235719,1.534004
49,62.650881,0.136545,0.058882,62.575109,-1.086621,0.316106,1.904578
50,62.650881,0.136545,0.058882,62.894046,0.239808,-0.020360,0.749766
51,62.650881,0.136545,0.058882,63.160638,0.141104,0.138007,0.995379
52,62.650881,0.136545,0.058882,63.268430,0.128401,-0.137801,1.180666
53,62.650881,0.136545,0.058882,63.516068,0.103525,0.086202,1.572785
54,62.650881,0.136545,0.058882,63.786700,0.032754,0.100333,1.917505
55,62.650881,0.136545,0.058882,63.284988,0.106924,0.164809,0.642041
56,62.650881,0.136545,0.058882,62.262058,0.168055,-0.006597,0.840255
57,62.650881,0.136545,0.058882,62.194040,0.139381,0.136322,0.991070
58,62.650881,0.136545,0.058882,62.023478,0.107041,0.200987,1.258228
59,62.650881,0.136545,0.058882,61.688720,0.166823,-0.006549,1.615875
60,56.147817,-31.032727,0.363135,56.277526,-31.643650,0.499146,0.297321
61,56.147817,-31.032727,0.363135,56.307393,-32.338762,0.744514,0.417973
62,56.147817,-31.032727,0.363135,56.277526,-33.137812,0.628851,0.486917
63,56.147817,-31.032727,0.363135,56.137820,-33.587777,0.685154,0.590333
64,56.147817,-31.032727,0.363135,56.157811,-34.111461,0.829625,0.745457
65,56.147817,-31.032727,0.363135,56.097805,-30.645354,0.261678,0.323175
66,56.147817,-31.032727,0.363135,56.247635,-29.803693,0.167609,0.370574
67,56.147817,-31.032727,0.363135,56.177791,-29.437708,0.175968,0.448136
68,56.147817,-31.032727,0.363135,56.137820,-28.591266,0.059339,0.616187
69,56.147817,-31.032727,0.363135,56.057745,-28.008156,-0.199080,0.792856
70,56.147817,-31.032727,0.363135,56.307393,-31.149644,0.704660,0.374883
71,56.147817,-31.032727,0.363135,56.287484,-30.986912,0.955948,0.435209
72,56.147817,-31.032727,0.363135,56.147817,-30.958289,1.151290,0.555861
73,56.147817,-31.032727,0.363135,56.127821,-30.927047,1.599207,0.745457
74,56.147817,-31.032727,0.363135,56.137820,-30.922877,1.719629,0.827328
75,56.147817,-31.032727,0.363135,56.077781,-31.211488,0.243791,0.327484
76,56.147817,-31.032727,0.363135,56.317343,-31.241367,-0.118685,0.448136
77,56.147817,-31.032727,0.363135,56.177791,-31.288071,-0.326148,0.517080
78,56.147817,-31.032727,0.363135,56.297440,-31.355435,-0.656634,0.685131
79,56.147817,-31.032727,0.363135,56.157811,-31.480469,-0.796388,0.810092
80,56.147817,-31.032727,0.363135,56.594841,-31.448511,0.686471,0.551552
81,56.147817,-31.032727,0.363135,56.604713,-31.228932,0.751354,0.530007
82,56.147817,-31.032727,0.363135,57.453454,-31.626112,0.570748,1.159121
83,56.147817,-31.032727,0.363135,55.836615,-30.870251,0.634173,0.426591
84,56.147817,-31.032727,0.363135,55.765969,-30.757585,0.393175,0.452445
85,56.147817,-31.032727,0.363135,55.051731,-30.468369,0.529718,0.999688
86,56.147817,-31.032727,0.363135,54.793133,-30.621251,0.335984,1.163430
87,56.147817,-31.032727,0.363135,54.385907,-30.018910,0.716211,1.594330
88,44.575171,36.958976,23.023443,44.560989,37.533373,23.417167,0.245613
89,44.575171,36.958976,23.023443,44.560989,37.902262,24.026373,0.486917
90,44.575171,36.958976,23.023443,44.560989,38.573629,24.555901,0.818710
91,44.575171,36.958976,23.023443,44.589348,39.080709,25.054252,0.982452
92,44.575171,36.958976,23.023443,44.575171,39.728474,25.632318,1.146194
