pair_id,L1,a1,b1,L2,a2,b2,DV
0,49.140011,-0.809856,0.430055,49.311226,-0.438431,1.422339,1.201506
1,49.699966,0.130085,0.779994,49.784233,0.090873,1.827392,1.257390
2,49.660042,-0.250223,0.360053,49.381290,-0.464036,1.301046,1.154936
3,49.330006,0.039961,0.489911,49.354378,-0.502420,1.315409,1.210820
4,49.430061,0.099855,0.360004,49.296097,-0.859472,0.496034,1.527496
5,54.799984,37.720024,7.109985,54.403339,40.995560,7.490560,1.005912
6,54.829967,37.799973,7.129910,54.496532,39.519398,7.746418,0.745120
7,54.020000,38.919899,6.279980,54.294842,41.013386,7.382777,0.698550
8,54.040054,38.969696,6.330107,54.356804,39.604393,7.723030,0.679922
9,53.739994,44.410114,6.279933,53.985176,42.968098,7.610081,0.521584
10,43.300003,34.659824,20.019878,43.594460,36.881409,21.068375,0.856888
11,43.870068,35.629742,21.290045,44.072601,37.127289,22.695574,1.126994
12,43.449951,38.100449,20.989811,43.626087,37.972427,23.039627,0.987284
13,43.449951,37.830349,21.080032,43.449951,36.518063,22.284998,0.763748
14,43.990017,39.070026,20.989996,43.743225,37.410538,21.277056,0.717178
15,58.949974,23.460032,27.410065,59.180817,25.609293,28.302149,0.884830
16,61.620037,23.599766,29.090139,61.464283,26.036238,30.662054,1.005912
17,60.820000,30.469955,31.400021,61.197262,32.096458,32.906292,0.707864
18,59.270000,25.559849,28.179935,59.943539,25.754641,30.022139,0.959342
19,60.030045,26.809946,29.780022,60.137901,25.353319,30.122326,0.801004
20,80.169975,7.680023,29.280010,79.978317,8.936858,29.966816,0.828946
21,79.730011,7.979990,29.099958,79.428146,9.028553,30.885044,0.903458
22,79.340027,7.879983,29.980099,79.139259,8.538363,31.475266,0.735806
23,79.580002,7.989916,29.169987,79.127937,8.516293,31.499508,1.126994
24,80.850021,7.709878,28.580017,81.021675,6.761721,28.993362,0.754434
25,85.629990,-6.880021,44.009979,85.407852,-5.048718,44.927666,1.173564
26,86.470016,-7.010156,45.370049,86.879654,-6.120996,47.568020,0.735806
27,86.750015,-6.710108,46.240025,87.279526,-6.291000,49.857285,0.931400
28,86.979988,-6.069949,47.359993,87.278404,-6.311615,49.833576,0.549526
29,87.090019,-6.380114,45.620094,87.212265,-7.994803,46.106678,0.950028
30,67.109993,-20.180033,24.969992,66.716438,-18.385767,25.152033,1.089738
31,66.679993,-15.309788,24.529993,66.489273,-13.897161,25.013622,0.987284
32,66.789978,-15.389912,24.529970,66.911255,-15.402593,26.467438,0.754434
33,66.560020,-14.270230,24.130102,66.811157,-15.424237,26.383797,0.838260
34,65.080032,-16.040257,23.430140,65.206474,-17.744812,24.736540,1.061796
35,60.820000,-33.040077,16.030046,61.013481,-30.885271,16.119560,0.791690
36,60.780041,-30.080114,14.460136,60.753551,-28.784170,15.634058,1.117680
37,60.719978,-30.019915,14.490026,60.931545,-30.075720,15.841388,0.642666
38,60.769978,-30.010040,14.429927,60.946136,-30.784008,16.133543,0.707864
39,60.719978,-30.819780,14.779965,60.728817,-32.982998,16.050978,0.642666
40,55.469971,-32.089752,-0.060098,55.612289,-29.953671,0.424135,0.838260
41,55.309998,-32.089779,-0.100068,55.320225,-30.297216,1.435476,1.266704
42,55.330044,-32.000000,-0.079938,55.207119,-32.267277,1.386697,0.847574
43,55.370003,-31.989914,-0.070078,55.318897,-32.931400,1.616213,0.959342
44,55.469971,-30.449732,0.209887,55.531033,-32.926296,0.238492,0.875516
45,53.499966,-18.739721,-8.330112,53.273022,-17.306429,-8.333839,0.875516
46,52.640022,-16.330187,-9.669969,52.761288,-14.669192,-9.037555,1.201506
47,52.629974,-16.349865,-9.680022,52.872139,-14.994094,-8.415019,1.257390
48,52.419998,-14.939863,-10.449980,52.652611,-14.659204,-9.036263,1.173564
49,52.529964,-14.999578,-10.520062,52.607430,-16.320673,-9.654822,1.182878
50,60.970032,-18.410057,-26.639978,60.873306,-16.502714,-26.459892,0.996598
51,61.970024,-16.530125,-26.399975,61.867188,-14.856445,-24.903971,1.238762
52,60.750019,-17.809874,-28.519949,60.750019,-16.487335,-26.496967,1.061796
53,61.199966,-18.269806,-28.850046,60.901997,-18.391253,-26.663271,0.847574
54,60.950005,-17.330168,-28.070019,60.967571,-18.435513,-26.736938,1.071110
55,36.099941,-6.780036,-26.530033,36.138252,-5.129393,-26.395277,1.015226
56,36.479950,-6.410225,-29.550129,36.724400,-5.203378,-27.711805,0.959342
