pair_id,L1,a1,b1,L2,a2,b2,DV
0,36.110000,-1.350000,-27.300000,37.055753,-1.183893,-27.312482,1.020000
1,35.850000,-1.400000,-27.120000,35.826706,-0.033849,-27.226880,1.020000
2,35.860000,-1.510000,-26.930000,35.652311,-1.052774,-25.463776,1.020000
3,35.920000,-1.620000,-28.360000,35.916970,-0.922014,-27.629690,1.020000
4,36.290000,-1.660000,-28.440000,36.203068,-2.806217,-25.432789,1.020000
5,34.720000,-1.350000,-28.240000,35.035905,-0.510414,-27.674976,1.020000
6,36.220000,-1.740000,-28.300000,37.025784,-2.270898,-27.621631,1.020000
7,34.770000,-1.240000,-27.990000,34.252177,-0.692588,-27.553985,1.020000
8,33.180000,-1.090000,-28.100000,33.842770,-0.088957,-29.050532,1.020000
9,50.650000,-16.210000,-11.230000,51.428037,-16.185053,-11.264302,1.020000
10,50.770000,-16.180000,-11.080000,50.646868,-14.566324,-11.159388,1.020000
11,50.650000,-16.080000,-11.000000,50.523654,-15.511444,-9.488711,1.020000
12,50.770000,-16.280000,-11.630000,50.829683,-15.046550,-10.725572,1.020000
13,50.820000,-16.150000,-11.100000,50.846645,-16.869422,-9.806224,1.020000
14,49.960000,-16.690000,-11.380000,50.537787,-15.757606,-10.802213,1.020000
15,49.890000,-16.550000,-11.360000,50.553953,-16.950972,-10.729045,1.020000
16,49.830000,-16.430000,-11.200000,49.109588,-15.628616,-10.691544,1.020000
17,48.990000,-16.800000,-11.390000,49.687053,-16.440596,-11.767679,1.020000
18,59.780000,-0.990000,1.250000,60.719204,-0.951454,1.273504,1.020000
19,59.970000,-0.930000,1.280000,59.891701,-0.064361,1.242590,1.020000
20,59.640000,-1.010000,1.210000,59.601707,-0.879276,2.523838,1.020000
21,59.550000,-1.120000,1.070000,59.543487,-0.410117,1.671959,1.020000
22,59.520000,-0.980000,1.250000,59.511110,-1.797884,2.221555,1.020000
23,58.990000,-0.530000,0.810000,59.745225,-0.100356,1.364312,1.020000
24,59.090000,-0.450000,0.900000,59.780061,-0.884445,1.497110,1.020000
25,58.620000,-0.490000,0.910000,58.084138,-0.096802,1.471090,1.020000
26,58.850000,-0.540000,0.760000,59.473987,-0.155007,0.188089,1.020000
27,55.530000,-27.100000,2.830000,56.487562,-27.020283,2.834802,1.020000
28,55.630000,-27.370000,2.060000,56.608326,-27.305301,2.074704,1.020000
29,55.570000,-27.110000,2.800000,55.579121,-24.838970,2.594786,1.020000
30,55.470000,-27.470000,2.100000,55.527284,-24.984356,1.943091,1.020000
31,55.880000,-27.210000,2.760000,55.866999,-26.864174,4.013295,1.020000
32,55.900000,-27.430000,1.980000,55.882779,-27.107730,3.166989,1.020000
33,55.630000,-27.250000,2.760000,55.650155,-25.827386,3.651863,1.020000
34,55.640000,-27.620000,1.970000,55.698733,-26.130308,2.941770,1.020000
35,55.560000,-27.060000,2.800000,55.652031,-28.238700,4.116746,1.020000
36,55.610000,-27.330000,2.150000,55.727091,-28.572258,3.487394,1.020000
37,55.660000,-28.280000,2.230000,56.355077,-27.400593,2.848273,1.020000
38,55.600000,-28.210000,2.290000,56.516836,-28.916635,3.230689,1.020000
39,55.440000,-28.090000,2.220000,54.685165,-27.171295,2.721933,1.020000
40,55.530000,-28.150000,2.280000,56.202916,-27.453678,1.622298,1.020000
41,63.540000,12.360000,20.910000,64.433776,12.437407,20.983806,1.020000
42,63.670000,12.370000,20.860000,63.601908,13.749908,21.005912,1.020000
43,63.930000,12.250000,20.640000,64.021281,12.473313,22.252091,1.020000
44,63.610000,12.180000,20.760000,63.576631,13.373327,21.807141,1.020000
45,63.750000,12.170000,20.730000,63.671300,13.022012,19.974937,1.020000
46,63.030000,12.800000,20.090000,63.822498,13.693061,21.001073,1.020000
47,60.500000,13.660000,21.200000,61.273803,13.057440,21.629177,1.020000
48,61.260000,13.200000,20.820000,60.476973,13.833551,21.374213,1.020000
49,63.060000,12.460000,19.130000,63.684596,13.018902,18.564023,1.020000
50,46.480000,12.760000,-13.440000,47.414957,12.755302,-13.349793,1.020000
51,46.310000,12.740000,-13.340000,46.354121,14.197452,-13.537072,1.020000
52,46.440000,12.610000,-13.150000,46.495092,12.741887,-11.487224,1.020000
53,46.520000,12.680000,-13.400000,46.598724,13.682499,-12.691486,1.020000
54,46.590000,12.640000,-13.550000,46.399983,10.886662,-11.275554,1.020000
55,46.370000,11.520000,-12.740000,46.874923,12.259534,-12.251398,1.020000
56,46.500000,11.450000,-12.650000,47.255581,10.678796,-11.726828,1.020000
57,46.110000,11.550000,-12.720000,45.511500,12.276235,-12.300741,1.020000
58,46.180000,11.430000,-12.720000,47.046476,12.060164,-13.365168,1.020000
59,42.330000,35.940000,20.390000,43.268665,35.910872,20.376846,1.020000
60,41.480000,35.710000,20.410000,41.507163,37.650194,20.413880,1.020000
61,41.560000,35.850000,21.710000,41.518467,35.863844,23.440554,1.020000
62,41.860000,35.780000,20.330000,41.876083,37.165174,21.787549,1.020000
63,41.900000,35.960000,20.460000,41.845866,35.146674,21.499103,1.020000
64,43.110000,35.490000,22.270000,43.997278,36.412705,23.247455,1.020000
65,43.990000,34.570000,23.340000,44.422988,34.053295,23.936821,1.020000
66,43.350000,35.280000,22.090000,42.534455,36.211597,23.086777,1.020000
67,42.930000,35.160000,23.560000,42.359782,34.747342,24.594145,1.020000
68,76.860000,4.020000,35.140000,78.050422,4.037856,35.166189,1.020000
69,78.310000,1.360000,37.230000,78.393513,2.778282,37.463261,1.020000
70,78.470000,1.630000,35.430000,78.755898,1.803738,37.602823,1.020000
71,78.630000,1.160000,34.250000,78.890785,2.198250,35.478949,1.020000
72,78.520000,1.830000,33.650000,78.508480,2.841175,32.865380,1.020000
73,77.870000,1.620000,36.290000,78.651840,2.491487,37.177653,1.020000
74,77.820000,1.990000,36.300000,78.668383,1.372612,37.226782,1.020000
75,77.740000,2.040000,36.140000,77.013017,2.897033,36.795455,1.020000
76,77.990000,1.780000,36.310000,78.639684,2.513626,35.708611,1.020000
77,64.600000,-10.000000,13.410000,65.452777,-10.100580,13.442667,1.020000
78,64.730000,-9.990000,13.490000,64.718298,-8.832626,13.315633,1.020000
79,64.750000,-10.320000,13.340000,64.702500,-10.308485,14.777951,1.020000
80,64.830000,-10.060000,13.450000,64.632878,-9.178393,14.253000,1.020000
81,64.740000,-9.070000,12.060000,64.884492,-10.031558,13.479115,1.020000
82,65.190000,-10.190000,13.420000,65.817713,-9.650589,13.905662,1.020000
83,65.210000,-10.100000,13.360000,66.068122,-10.852287,14.222413,1.020000
84,65.230000,-10.170000,13.660000,64.635957,-9.501837,14.283473,1.020000
85,65.160000,-10.200000,13.340000,65.799320,-9.695008,12.743099,1.020000
86,14.550000,-0.620000,0.400000,15.767237,-0.552918,0.374387,1.020000
87,14.070000,-0.140000,0.480000,14.271652,0.623397,0.348766,1.020000
88,13.890000,-0.160000,0.740000,14.348899,-0.569499,1.885297,1.020000
