pair_id,sample_i,sample_j,center,x10_i,y10_i,Y10_i,x10_j,y10_j,Y10_j,DV_mean,DV_sigma
0,0,1,Yellow,0.3867,0.4275,69.53,0.3879,0.4294,69.51,1.33,0.504
1,0,1,Grey,0.3142,0.331,31.17,0.3152,0.3321,31.14,1.81,0.487
2,0,1,Green,0.251,0.3629,24.06,0.2502,0.3639,24.19,0.69,0.375
3,0,1,Red,0.4832,0.3426,14.24,0.4859,0.3425,14.23,0.57,0.468
4,0,1,Blue,0.2177,0.2144,8.77,0.2169,0.2129,8.77,0.58,0.383
5,0,2,Yellow,0.3867,0.4275,69.53,0.3898,0.4313,69.62,2.01,0.544
6,0,2,Grey,0.3142,0.331,31.17,0.3159,0.3339,31.14,2.27,0.544
7,0,2,Green,0.251,0.3629,24.06,0.2494,0.3654,24.22,0.97,0.414
8,0,2,Red,0.4832,0.3426,14.24,0.4887,0.3432,14.23,1.13,0.496
9,0,2,Blue,0.2177,0.2144,8.77,0.2161,0.2111,8.79,0.77,0.408
10,0,3,Yellow,0.3867,0.4275,69.53,0.3914,0.4329,69.44,2.63,0.745
11,0,3,Grey,0.3142,0.331,31.17,0.317,0.3339,31.16,3.38,0.727
12,0,3,Green,0.251,0.3629,24.06,0.2475,0.3658,24.19,1.13,0.507
13,0,3,Red,0.4832,0.3426,14.24,0.492,0.3432,14.23,1.9,0.621
14,0,3,Blue,0.2177,0.2144,8.77,0.2157,0.2101,8.78,0.84,0.353
15,0,4,Yellow,0.3867,0.4275,69.53,0.3928,0.4357,69.58,3.49,0.686
16,0,4,Grey,0.3142,0.331,31.17,0.317,0.3343,31.22,3.47,0.703
17,0,4,Green,0.251,0.3629,24.06,0.2466,0.3665,24.05,1.37,0.588
18,0,4,Red,0.4832,0.3426,14.24,0.4947,0.3434,14.25,2.28,0.663
19,0,4,Blue,0.2177,0.2144,8.77,0.2142,0.208,8.73,1.2,0.487
20,0,5,Yellow,0.3867,0.4275,69.53,0.3943,0.4374,69.45,4.05,0.759
21,0,5,Grey,0.3142,0.331,31.17,0.3183,0.3358,31.22,4.55,0.891
22,0,5,Green,0.251,0.3629,24.06,0.2459,0.3675,24.07,1.73,0.618
23,0,5,Red,0.4832,0.3426,14.24,0.4981,0.3435,14.24,2.66,0.774
24,0,5,Blue,0.2177,0.2144,8.77,0.2133,0.206,8.81,1.36,0.472
25,0,6,Yellow,0.3867,0.4275,69.53,0.385,0.4256,69.53,1.47,0.568
26,0,6,Grey,0.3142,0.331,31.17,0.3134,0.3299,30.99,1.59,0.51
27,0,6,Green,0.251,0.3629,24.06,0.2515,0.3622,24.01,0.75,0.425
28,0,6,Red,0.4832,0.3426,14.24,0.4805,0.3422,14.17,0.88,0.478
29,0,6,Blue,0.2177,0.2144,8.77,0.2187,0.2166,8.79,0.63,0.308
30,0,7,Yellow,0.3867,0.4275,69.53,0.3824,0.4222,69.77,2.57,0.437
31,0,7,Grey,0.3142,0.331,31.17,0.313,0.3296,31.18,1.89,0.62
32,0,7,Green,0.251,0.3629,24.06,0.2531,0.361,24.16,0.86,0.494
33,0,7,Red,0.4832,0.3426,14.24,0.4781,0.3421,14.15,1.23,0.495
34,0,7,Blue,0.2177,0.2144,8.77,0.2199,0.218,8.71,0.88,0.435
35,0,8,Grey,0.3142,0.331,31.17,0.312,0.3286,31.32,3.01,0.809
36,0,8,Green,0.251,0.3629,24.06,0.2538,0.3607,24.09,1.04,0.423
37,0,8,Red,0.4832,0.3426,14.24,0.4751,0.3422,14.24,1.56,0.503
38,0,8,Blue,0.2177,0.2144,8.77,0.221,0.2196,8.79,0.96,0.444
39,0,9,Yellow,0.3867,0.4275,69.53,0.3801,0.4188,69.54,3.82,0.611
40,0,9,Grey,0.3142,0.331,31.17,0.3113,0.3272,31.22,3.65,0.629
41,0,9,Green,0.251,0.3629,24.06,0.2552,0.3595,24.05,1.43,0.616
42,0,9,Red,0.4832,0.3426,14.24,0.4726,0.3423,14.16,2.22,0.63
43,0,9,Blue,0.2177,0.2144,8.77,0.2211,0.2207,8.76,1.09,0.454
44,0,10,Yellow,0.3867,0.4275,69.53,0.3792,0.4167,69.46,4.25,0.643
45,0,10,Grey,0.3142,0.331,31.17,0.3108,0.3266,31.19,4.1,0.77
46,0,10,Green,0.251,0.3629,24.06,0.2557,0.3581,23.97,1.84,0.711
47,0,10,Red,0.4832,0.3426,14.24,0.4684,0.3423,14.3,2.6,0.709
48,0,10,Blue,0.2177,0.2144,8.77,0.222,0.2225,8.76,1.42,0.507
49,1,6,Yellow,0.3879,0.4294,69.51,0.385,0.4256,69.53,1.87,0.49
50,1,6,Grey,0.3152,0.3321,31.14,0.3134,0.3299,30.99,2.35,0.665
51,1,6,Green,0.2502,0.3639,24.19,0.2515,0.3622,24.01,0.84,0.401
52,1,6,Red,0.4859,0.3425,14.23,0.4805,0.3422,14.17,1.42,0.521
53,1,6,Blue,0.2169,0.2129,8.77,0.2187,0.2166,8.79,0.8,0.411
54,2,7,Yellow,0.3898,0.4313,69.62,0.3824,0.4222,69.77,3.99,0.81
